edit_type,edit_detail,ratio,word_a,freq_a,example_a,word_b,freq_b,example_b,decision,preferred_form,notes
substitution,a/i,37.0,nacha,9,Nacha nyumbenyi,nicha,333,Sikira nicha madongozo ghapo,,,
substitution,e/i,47.6,necha,7,Necha icho,nicha,333,Sikira nicha madongozo ghapo,,,
indel,n,83.2,icha,4,Dibora chumbo ilinga njumwa icha ikanisenyi?,nicha,333,Sikira nicha madongozo ghapo,,,
substitution,v/k,1.2,kilambo,181,Hakuna kilambo chipoiye sa kisekesho,vilambo,155,Kuaeliwe kughua vilambo va fwana,,,
substitution,k/p,2.2,wako,105,Kunda jirani wako seji kujikunde,wapo,230,Mwatulituli wapo wawepata shida ya mtandao,,,
indel,k,4.0,koka,66,Andenyi ya Nyumba koka na choka,oka,264,Oka na skulu yake.,,,
substitution,a/i,3.1,ani,79,Kukasighwa ni fumanya na ani.,ini,248,Ini ni mwalimu wa kijomba,,,
substitution,e/o,2.5,wape,93,Mkeku wawamnosa mwana wape.,wapo,230,Mwatulituli wapo wawepata shida ya mtandao,,,
substitution,y/w,2.5,wapo,230,Mwatulituli wapo wawepata shida ya mtandao,yapo,92,Nyumba yapo yeka kavui na moda,,,
substitution,r/n,3.4,ini,248,Ini ni mwalimu wa kijomba,iri,72,Ola kurighore maza iri.,,,
substitution,e/o,4.9,eka,54,Eka ghadi na ghadi ya bahari.,oka,264,Oka na skulu yake.,,,
substitution,k/d,62.6,dazi,5,Wadawana na wai wapoilwagha kuvina dazi,kazi,313,Kazi yapo yawehitaji wumakini,,,
substitution,z/t,62.6,kati,5,Chuki kati ya wanajamii matuku ghose hureda hasara,kazi,313,Kazi yapo yawehitaji wumakini,,,
substitution,s/n,3.6,ini,248,Ini ni mwalimu wa kijomba,isi,69,Isi ni raiya wa dunia ihi,,,
substitution,r/w,2.7,rapo,85,Nguwo rapo rachafuka,wapo,230,Mwatulituli wapo wawepata shida ya mtandao,,,
substitution,r/w,1.8,rose,112,Nyonyi rose ra mbeonyi nariichi.,wose,203,Wusafiri ghwa wandu wose ni chia ipoiye yesafiri,,,
substitution,a/o,4.9,vua,259,Vua nyingi yanyee ikasababisha mafuriko,vuo,53,Matuku ghose nadapoilwa ni kushoma vuo,,,
indel,y,5.6,kukaia,264,Kukaia na irumirio na Bwana.,kukaiya,47,Na ngera yadima kukaiya shekeria ni kii?,,,
substitution,e/o,33.0,nguwe,9,Nguwe radaja maduma,nguwo,297,Nguwo rapo rachafuka,,,
substitution,w/r,99.0,nguro,3,Mjoka nguro mpaka usee.,nguwo,297,Nguwo rapo rachafuka,,,
substitution,k/d,1.4,wada,174,Da dibonyaa wada.,waka,126,Washomi waka wengi wa mashomo tofauti,,,
substitution,o/a,2.0,aha,197,Ini aha nakoja kukaia moyo.,aho,101,Aho niko kuchaadima kutala.,,,
substitution,e/i,8.0,kwake,33,Mkelu wadaghamba ngolonyi kwake.,kwaki,264,Kwaki kwazamilwa,,,
indel,k,3.8,kwapo,61,Sikira kuruma kwapo.,wapo,230,Mwatulituli wapo wawepata shida ya mtandao,,,
substitution,i/b,10.6,kukaba,25,Kwavolwa kusighe kukaba mmbenyu.,kukaia,264,Kukaia na irumirio na Bwana.,,,
substitution,o/i,11.0,kwaki,264,Kwaki kwazamilwa,kwako,24,Nido kwako.,,,
substitution,w/p,4.0,wapo,230,Mwatulituli wapo wawepata shida ya mtandao,wawo,58,Waka wawo.,,,
substitution,s/m,1.3,mana,123,Msinde mana.,sana,164,Safari yedu yesafiri kuenda mbugenyi yekoghe yesisimua sana,,,
indel,u,39.9,mlungu,279,Kukae mundu womkasa Mlungu matuku ghose,mulungu,7,Mulungu wadi jalia maisha ghipoiye,,,
substitution,e/a,12.0,kukaia,264,Kukaia na irumirio na Bwana.,kukaie,22,Kwafane kukaie na mtorori.,,,
substitution,v/n,6.5,ini,248,Ini ni mwalimu wa kijomba,ivi,38,Ivi vindo vasinga.,,,
indel,i,46.5,milungu,6,Maza rededanya na milungu,mlungu,279,Kukae mundu womkasa Mlungu matuku ghose,,,
indel,a,69.8,malungu,4,Zighe wanona malungu ghose.,mlungu,279,Kukae mundu womkasa Mlungu matuku ghose,,,
substitution,k/n,15.5,kwaki,264,Kwaki kwazamilwa,kwani,17,Kwani ndokumanyire? Wadambie kimonu mori ghusirie,,,
substitution,k/l,17.6,oka,264,Oka na skulu yake.,ola,15,Ola sikirenyi.,,,
substitution,a/h,54.8,jaa,5,Jaa mboa mboa,jha,274,Idime ni ituku jha njumwa,,,
indel,g,8.6,ingi,29,Ndeekoghe chia ingi zima ela kulala isakenyi.,ini,248,Ini ni mwalimu wa kijomba,,,
indel,i,91.3,ijha,3,Dineke ijha mbeu yako,jha,274,Idime ni ituku jha njumwa,,,
substitution,e/a,91.3,jha,274,Idime ni ituku jha njumwa,jhe,3,Ikanisa ijhi jhe kaba makofi Jiwangwagha,,,
substitution,w/j,4.9,japo,47,Irina Japo ni Mwamburi,wapo,230,Mwatulituli wapo wawepata shida ya mtandao,,,
indel,w,24.0,oka,264,Oka na skulu yake.,woka,11,Mwai uhu woka na kifu/mzigo,,,
substitution,v/w,5.2,vapo,44,Mbori raawuya vindo vapo.,wapo,230,Mwatulituli wapo wawepata shida ya mtandao,,,
indel,j,29.3,joka,9,Joka lughongonyi,oka,264,Oka na skulu yake.,,,
substitution,a/i,19.9,vua,259,Vua nyingi yanyee ikasababisha mafuriko,vui,13,Yasighwa ngelo vui.,,,
indel,a,44.0,kukaia,264,Kukaia na irumirio na Bwana.,kukia,6,Nekunda kukia.,,,
indel,i,44.0,kukaa,6,Wangu wakundikia kukaa na mawono malazi.,kukaia,264,Kukaia na irumirio na Bwana.,,,
substitution,v/k,44.0,oka,264,Oka na skulu yake.,ova,6,Ujha mka ova mwana icho,,,
substitution,a/o,44.0,aka,6,Aka oko mkongo sana.,oka,264,Oka na skulu yake.,,,
substitution,s/u,5.6,shuu,229,Nazughwa shuu.,uhuu,41,Uhuu mundu oka na kazi ipoie.,,,
substitution,e/a,1.1,waka,126,Washomi waka wengi wa mashomo tofauti,wake,144,Mumi wake ni kitoi.,,,
indel,i,52.8,kwaki,264,Kwaki kwazamilwa,kwakii,5,Kwakii mwawekabana?,,,
indel,l,52.8,loka,5,Ela dendapwana loka ni lukundo,oka,264,Oka na skulu yake.,,,
