tier,edit_type,edit_detail,ratio,word_a,freq_a,example_a,word_b,freq_b,example_b,decision,preferred_form,notes
review,substitution,y/j,6.0,jadima,22,Iji itunda jadima kujighwa kwa mda ghose.,yadima,132,Kazi ya ikwanyiko yadima kuka ipoiye zaidi,,,
review,indel,m,2.5,agho,109,Maw'iw'i agho.,magho,43,Nyumba ya magho.,,,
review,indel,k,1.9,kuko,53,Ndokukundikie kuobuo kuko nani.,uko,99,Mwanafunzi upoiye ni uja uko na tabia ripoiye na ishima ja hali ya ighu,,,
review,substitution,j/v,3.0,iji,114,Iji w'aw'onyera lubando uchaainjwa.,ivi,38,Ivi vindo vasinga.,,,
review,substitution,a/i,6.6,mbaa,132,Lukundo ni nguvu mbaa,mbai,20,Agha ni matuku gha kutua mbai.,,,
review,substitution,y/v,6.6,vadima,20,Vichuku vadima kureda maghaluso ghiboie.,yadima,132,Kazi ya ikwanyiko yadima kuka ipoiye zaidi,,,
review,indel,',2.9,w'asi,112,Ilombi jelomba w'utesia ngelo kwapata w'asi.,wasi,39,Wasi ghwapo ghwanikata.,,,
review,substitution,y/n,6.9,nadima,19,Nadima kusikira lwaka lwa ndege,yadima,132,Kazi ya ikwanyiko yadima kuka ipoiye zaidi,,,
review,indel,n,1.1,ani,79,Kukasighwa ni fumanya na ani.,nani,71,Wele nani orelodieghe maza iro?,,,
review,substitution,k/p,1.6,yako,58,Tumia muda na familia yako,yapo,92,Nyumba yapo yeka kavui na moda,,,
review,substitution,d/n,1.8,wada,53,Da dibonyaa wada.,wana,97,Wana wawecheza kiwachenyi,,,
review,substitution,j/k,1.8,w'aja,53,Paulo na w'aja w'adumi w'azima.,w'aka,97,W'aka w'eka na ghawo.,,,
review,substitution,k/j,3.8,ijo,119,Ituku ijo.,iko,31,Chovu mbaa yawesela msidunyi iko na wana wake wadadu,,,
review,substitution,k/p,1.3,ghako,66,Maghesho ghako ni muhimu,ghapo,84,Sikira nicha madongozo ghapo,,,
review,substitution,d/y,4.8,modo,124,Ngelo ra mruke ni ra modo saana,moyo,26,Igho jiko moyo na iyo mbari ya wueli.,,,
review,indel,a,8.3,iyao,16,Shekeria yelwa ni ki/ iyao?,iyo,133,Igho jiko moyo na iyo mbari ya wueli.,,,
review,indel,n,8.3,iyo,133,Igho jiko moyo na iyo mbari ya wueli.,niyo,16,Ija niyo mali ivisiro.,,,
review,indel,',1.9,iruw'a,51,Iruw'a jhadabia nandighi dimeghadi,iruwa,98,"Iruwa jikatua, ndoe yakaia na rangi ighokie",,,
review,substitution,g/c,1.3,chapo,65,Charo chapo chedeka kilacha na chechokesha,ghapo,84,Sikira nicha madongozo ghapo,,,
review,substitution,e/o,1.6,yape,57,Walaghasha ndagha yape,yapo,92,Nyumba yapo yeka kavui na moda,,,
review,indel,n,1.5,noko,60,Msakeghada sa w'ana w'a noko.,oko,88,Mlungu oko moyo.,,,
review,substitution,o/u,1.2,huw'o,66,Kwaki waweadeda huw'o?,huw'u,82,Hata niseendajoka Dawida huw'u.,,,
review,substitution,w/j,3.4,jake,34,Ukajikoja isu jake.,wake,114,Mumi wake ni kitoi.,,,
review,substitution,d/y,4.3,w'ada,120,W'adaw'ida w'ada poilwa ni chai,w'aya,28,Orekoghe na w'wana ghodeda ghuseko na w'aya.,,,
review,substitution,a/e,8.2,kubonya,132,Mando ghamu ni ncha kubonya mazoezi,kubonye,16,Matuku ghose tima kubonye mecha.,,,
